State,PovertyRate,BlackPop,BlackPovertyRate,AsianPop,AsianPoverty,HispanicPop,HispanicPoverty,WhitePop,WhitePovertyRate,TotalProtests,TotalAttendance
Alabama,21.1,562689,32.55,31259,11.3,61028,28.95,681854,10.4,6,191
Alaska,10.7,22428,16.3,29751,11,31884,9.6,235895,8.2,2,145
Arizona,14.45,240464,18.05,170262,9.2,1496755,21.3,2743135,10.55,2,70
Arkansas,22.7,185222,31.15,24113,13.2,96084,36,484267,12.75,4,30
California,13.8,1885600,18,4490927,9.6,11412127,18.2,10349046,9.3,81,24101
Colorado,11.1,168406,22.6,107690,9.9,739247,20.4,2117868,8.1,14,3670
Connecticut,11.1,273923,20.3,65356,6.5,374548,20.8,787309,7.8,11,1612
Delaware,22.55,51338,28.55,1527,15.05,12494,28.4,34641,11.15,0,0
District of Columbia,18.2,300482,26.5,20585,16.1,60874,17.1,208411,7.4,22,48983
Florida,15.85,1971583,24.2,274488,11.85,2695326,19.65,4444289,10.7,28,1686
Georgia,18.1,958948,23.45,107322,7.25,220596,32.7,1093424,9.35,20,2156
Hawaii,6.9,8055,10.6,293594,4.8,38545,13.7,102275,8.6,3,54
Idaho,15.9,5962,33.3,13947,16.7,79342,29.3,531182,15,0,0
Illinois,9.9,1224214,23.35,444401,6.8,1467817,15.4,3049610,6,36,8491
Indiana,20.6,485125,36.2,67418,13.9,226657,32.1,1662005,15.7,6,486
Iowa,16.2,69165,36.3,39023,13.8,75276,23.4,846578,12.6,6,330
Kansas,14.7,128661,24.9,56040,16.5,173200,24.8,942264,12,0,0
Kentucky,19.6,201422,33.4,28393,18.2,57621,31.9,778044,15,6,168
Louisiana,23.6,659291,34.3,38391,20.4,86056,20.5,616536,12.8,8,99
Maine,23.6,6361,59.9,3574,20.9,3714,32.8,111938,19.1,3,109
Maryland,8.05,815757,12.75,178053,6.6,244066,12.95,1103356,5.85,21,10289
Massachusetts,12.55,388127,22.05,245840,13.5,558950,25.1,1939295,9.6,33,8081
Michigan,19.55,960741,34.05,124108,13.6,197540,24.25,1636753,15.2,13,1428
Minnesota,8.95,217458,26.05,170616,8.65,141108,23.25,1570654,5.75,12,8590
Mississippi,25.5,275264,39,6475,5.7,17077,34.8,203603,14,1,100
Missouri,11.5,377943,25,50538,15.5,104611,24.1,1351813,9,44,8160
Montana,19.8,2247,34.9,3344,21.4,12372,27.3,260608,18.6,1,50
Nebraska,16.5,68791,36.5,24283,15.55,94327,30.65,570093,10.4,0,0
Nevada,16.75,211768,24.45,191016,9,656516,22.45,1084956,10.75,4,165
New Hampshire,11.7,8334,25.8,12471,14.3,19118,26.6,187337,10.6,0,0
New Jersey,19,522304,20.8,155993,10.8,817003,25.1,607804,12.5,13,1455
New Mexico,18.6,31881,24.3,21164,13.2,498425,27.65,437889,11.2,4,169
New York,10.7,2553473,19.6,1218405,14.95,2801135,16.9,3954997,7.9,62,51135
North Carolina,19.3,1037287,27,149945,9.5,369144,29.4,1720403,10.1,17,2303
North Dakota,12.95,6456,34.55,5480,18.55,6935,21.85,232249,11,0,0
Ohio,16,951479,33,97268,11.4,198208,23,2528919,11.1,38,3599
Oklahoma,15.9,199445,28.5,55222,10.1,219464,24.9,1032454,12.1,0,0
Oregon,18.75,53293,31.45,100082,17.85,233176,28.9,1304253,14.1,13,2903
Pennsylvania,26.5,865855,35.65,128462,20.9,409467,38.4,1164581,16.95,19,6920
Rhode Island,16.45,50017,27.45,21797,11.25,105762,31,290526,11.9,4,885
South Carolina,19.55,238640,32.35,13586,11.35,38485,21.85,439205,9.6,14,1164
South Dakota,13.45,8042,32.65,4240,15,11048,18,184293,9.2,0,0
Tennessee,17.6,797796,25.8,64091,12,181699,31.5,1419694,12,12,955
Texas,15.5,2090074,18,749288,8.8,6369944,21.3,5555560,8.7,29,3864
Utah,10.65,22021,16.65,44810,9.45,267294,21.65,1248838,8.45,4,354
Vermont,25,1440,34.9,2118,16.9,940,27.6,30279,24.4,1,65
Virginia,9.6,804407,18.1,200332,8.9,302942,14.7,1621359,5.7,18,2149
Washington,15.5,161454,24.5,343364,11.2,390768,26.3,2091706,10.1,20,3907
West Virginia,23.5,8176,39.9,1736,6.3,1480,22.8,108777,23.1,0,0
Wisconsin,14.25,299578,38.8,88063,15.55,224108,27.45,1365895,10.95,19,2314
Wyoming,9.7,3174,14.9,1756,3,16513,19.3,122023,8.8,0,0
